location,zone,month,GHI_monthly,DNI_monthly
Mustang,High Mountain,10,163.39315789473685,201.4663157894737
Mustang,High Mountain,11,136.42,207.35631578947368
Mustang,High Mountain,12,129.01315789473685,216.65526315789472
Nawalparasi,Western Terai,1,119.09,179.1405263157895
Nawalparasi,Western Terai,2,129.54631578947368,173.44842105263157
Nawalparasi,Western Terai,3,181.14157894736843,216.27631578947367
Nawalparasi,Western Terai,4,197.00578947368422,219.39263157894737
Nawalparasi,Western Terai,5,194.9515789473684,192.9457894736842
Nawalparasi,Western Terai,6,154.1042105263158,130.10526315789474
Nawalparasi,Western Terai,7,117.03105263157896,76.37210526315789
Nawalparasi,Western Terai,8,120.41684210526316,86.25736842105263
Nawalparasi,Western Terai,9,121.96999999999998,108.48315789473683
Nawalparasi,Western Terai,10,138.16,166.05894736842106
Nawalparasi,Western Terai,11,121.22157894736843,176.47368421052633
Nawalparasi,Western Terai,12,113.56368421052632,183.18421052631578
Nawalpur,Inner Terai,1,118.65578947368421,174.69894736842107
Nawalpur,Inner Terai,2,128.31947368421052,168.16684210526316
Nawalpur,Inner Terai,3,178.58842105263156,213.25315789473683
Nawalpur,Inner Terai,4,192.82894736842104,206.27315789473684
Nawalpur,Inner Terai,5,188.90842105263158,185.90578947368422
Nawalpur,Inner Terai,6,148.56947368421052,124.03473684210526
Nawalpur,Inner Terai,7,112.61105263157896,71.29684210526317
Nawalpur,Inner Terai,8,117.33842105263157,82.20842105263158
Nawalpur,Inner Terai,9,118.53842105263158,101.64894736842105
Nawalpur,Inner Terai,10,135.91105263157894,161.33789473684212
Nawalpur,Inner Terai,11,120.06263157894738,175.52052631578945
Nawalpur,Inner Terai,12,112.59947368421052,175.21526315789475
Palpa,Western Hills,1,116.7021052631579,174.79473684210527
Palpa,Western Hills,2,125.14105263157894,161.5321052631579
Palpa,Western Hills,3,176.95052631578946,209.79000000000002
Palpa,Western Hills,4,191.3057894736842,200.55947368421053
Palpa,Western Hills,5,186.93315789473684,176.45263157894738
Palpa,Western Hills,6,146.92368421052632,117.08263157894737
Palpa,Western Hills,7,111.84789473684211,68.70052631578947
Palpa,Western Hills,8,115.28315789473685,77.47999999999999
Palpa,Western Hills,9,118.97894736842105,102.41473684210527
Palpa,Western Hills,10,135.3421052631579,161.97473684210527
Palpa,Western Hills,11,117.29736842105264,169.0536842105263
Palpa,Western Hills,12,110.58210526315789,171.54052631578946
Parbat,Western Hills,1,103.59894736842107,146.63105263157897
Parbat,Western Hills,2,114.41526315789473,138.13263157894735
Parbat,Western Hills,3,160.85,168.5742105263158
Parbat,Western Hills,4,175.58157894736843,166.07631578947368
Parbat,Western Hills,5,172.6963157894737,143.7857894736842
Parbat,Western Hills,6,133.95000000000002,92.6478947368421
Parbat,Western Hills,7,102.26578947368421,52.1978947368421
Parbat,Western Hills,8,105.40578947368421,60.56736842105263
Parbat,Western Hills,9,108.66894736842106,80.10105263157895
Parbat,Western Hills,10,125.8078947368421,134.47684210526316
Parbat,Western Hills,11,108.40684210526315,140.84263157894736
Parbat,Western Hills,12,100.4478947368421,147.05105263157895
Parsa,Madhesh Terai,1,124.01947368421052,195.48368421052632
Parsa,Madhesh Terai,2,136.50578947368422,187.43578947368422
Parsa,Madhesh Terai,3,185.4363157894737,224.8236842105263
Parsa,Madhesh Terai,4,200.66947368421052,224.03631578947366
Parsa,Madhesh Terai,5,199.86526315789473,200.91105263157894
Parsa,Madhesh Terai,6,160.54315789473685,138.64526315789476
Parsa,Madhesh Terai,7,123.78315789473685,85.23105263157895
Parsa,Madhesh Terai,8,128.06421052631578,96.71052631578948
Parsa,Madhesh Terai,9,126.43631578947368,115.14894736842105
Parsa,Madhesh Terai,10,142.00368421052633,172.64947368421053
Parsa,Madhesh Terai,11,127.46894736842104,188.03263157894736
Parsa,Madhesh Terai,12,117.69052631578947,192.38842105263157
Ramechhap,Eastern Hills,1,117.28052631578947,161.0115789473684
Ramechhap,Eastern Hills,2,128.04052631578946,157.1536842105263
Ramechhap,Eastern Hills,3,176.7142105263158,203.96157894736842
Ramechhap,Eastern Hills,4,189.09052631578948,201.02105263157895
Ramechhap,Eastern Hills,5,179.0963157894737,164.43473684210528
Ramechhap,Eastern Hills,6,138.35052631578947,105.75631578947367
Ramechhap,Eastern Hills,7,103.14315789473685,58.42473684210526
Ramechhap,Eastern Hills,8,109.63842105263159,70.58894736842106
Ramechhap,Eastern Hills,9,114.35789473684211,93.83263157894737
Ramechhap,Eastern Hills,10,132.7078947368421,148.9884210526316
Ramechhap,Eastern Hills,11,116.32526315789472,152.59157894736842
Ramechhap,Eastern Hills,12,108.42578947368422,154.29631578947368
Rautahat,Madhesh Terai,1,125.52263157894735,197.38473684210527
Rautahat,Madhesh Terai,2,138.6463157894737,191.0321052631579
Rautahat,Madhesh Terai,3,187.5063157894737,228.28052631578947
Rautahat,Madhesh Terai,4,202.15473684210528,225.17
Rautahat,Madhesh Terai,5,200.16631578947369,200.01526315789474
Rautahat,Madhesh Terai,6,161.65526315789472,138.99526315789473
Rautahat,Madhesh Terai,7,125.9757894736842,87.51105263157895
Rautahat,Madhesh Terai,8,129.0363157894737,97.48684210526316
Rautahat,Madhesh Terai,9,127.13052631578948,115.88578947368421
Rautahat,Madhesh Terai,10,142.88684210526316,172.6321052631579
Rautahat,Madhesh Terai,11,128.98105263157893,189.81473684210528
Rautahat,Madhesh Terai,12,118.63105263157894,192.92894736842106
Rolpa,Mid-West Hills,1,110.32157894736842,147.57368421052632
Rolpa,Mid-West Hills,2,120.09421052631579,143.0563157894737
Rolpa,Mid-West Hills,3,166.30052631578948,176.80157894736843
Rolpa,Mid-West Hills,4,184.71473684210525,177.83736842105262
Rolpa,Mid-West Hills,5,184.5705263157895,163.0894736842105
Rolpa,Mid-West Hills,6,149.3463157894737,116.0657894736842
Rolpa,Mid-West Hills,7,111.87105263157896,64.4042105263158
Rolpa,Mid-West Hills,8,114.74736842105263,72.1821052631579
Rolpa,Mid-West Hills,9,119.09473684210525,95.83578947368422
Rolpa,Mid-West Hills,10,124.83842105263157,133.03052631578947
Rolpa,Mid-West Hills,11,105.90526315789474,134.6042105263158
Rolpa,Mid-West Hills,12,102.19421052631579,146.3815789473684
Rupandehi,Western Terai,1,119.20894736842104,179.5115789473684
Rupandehi,Western Terai,2,131.08,176.6578947368421
Rupandehi,Western Terai,3,183.76736842105262,220.93526315789475
Rupandehi,Western Terai,4,200.40578947368422,225.64947368421053
Rupandehi,Western Terai,5,200.52789473684211,201.30947368421053
Rupandehi,Western Terai,6,159.16473684210527,137.41526315789474
Rupandehi,Western Terai,7,119.6621052631579,80.41842105263159
Rupandehi,Western Terai,8,122.23526315789472,89.38263157894737
Rupandehi,Western Terai,9,124.73315789473683,113.10263157894735
Rupandehi,Western Terai,10,139.8857894736842,169.9621052631579
Rupandehi,Western Terai,11,121.91894736842106,178.09526315789472
Rupandehi,Western Terai,12,112.95789473684209,181.32842105263157
Sankhuwasabha,Eastern Mountain,1,121.04736842105264,180.02631578947367
Sankhuwasabha,Eastern Mountain,2,125.97947368421053,164.80684210526314
Sankhuwasabha,Eastern Mountain,3,170.7305263157895,200.63526315789474
Sankhuwasabha,Eastern Mountain,4,182.1573684210526,186.0673684210526
Sankhuwasabha,Eastern Mountain,5,172.1936842105263,150.93684210526317
Sankhuwasabha,Eastern Mountain,6,131.09473684210528,93.76105263157895
Sankhuwasabha,Eastern Mountain,7,102.71736842105264,56.37263157894736
Sankhuwasabha,Eastern Mountain,8,112.19105263157896,68.22736842105263
Sankhuwasabha,Eastern Mountain,9,114.8178947368421,93.42315789473685
Sankhuwasabha,Eastern Mountain,10,136.69842105263157,156.26842105263157
Sankhuwasabha,Eastern Mountain,11,121.85631578947368,172.4515789473684
Sankhuwasabha,Eastern Mountain,12,114.52473684210526,177.8757894736842
Sarlahi,Madhesh Terai,1,122.79,192.2384210526316
Sarlahi,Madhesh Terai,2,134.91210526315788,184.70052631578946
Sarlahi,Madhesh Terai,3,183.81315789473683,223.0057894736842
Sarlahi,Madhesh Terai,4,197.08315789473684,217.6415789473684
Sarlahi,Madhesh Terai,5,193.32894736842104,190.68315789473684
Sarlahi,Madhesh Terai,6,154.08157894736843,129.78526315789475
Sarlahi,Madhesh Terai,7,119.64105263157896,80.48894736842105
Sarlahi,Madhesh Terai,8,124.20789473684209,91.78526315789475
Sarlahi,Madhesh Terai,9,124.59842105263158,112.67210526315789
Sarlahi,Madhesh Terai,10,140.06,168.91736842105263
Sarlahi,Madhesh Terai,11,124.91842105263157,182.64
Sarlahi,Madhesh Terai,12,115.07578947368421,186.53105263157894
Sindhupalchok,Central Hills,1,110.22684210526316,152.64894736842106
Sindhupalchok,Central Hills,2,114.66526315789473,133.32684210526315
Sindhupalchok,Central Hills,3,160.85894736842107,166.96526315789475
Sindhupalchok,Central Hills,4,174.69315789473686,161.50315789473683
Sindhupalchok,Central Hills,5,173.67052631578946,145.4936842105263
Sindhupalchok,Central Hills,6,137.2957894736842,94.33052631578947
Sindhupalchok,Central Hills,7,99.31894736842105,44.52421052631579
Sindhupalchok,Central Hills,8,105.37684210526317,52.891052631578944
Sindhupalchok,Central Hills,9,108.48368421052632,73.28894736842105
Sindhupalchok,Central Hills,10,121.82736842105264,123.66315789473684
Sindhupalchok,Central Hills,11,107.3978947368421,136.88052631578947
Sindhupalchok,Central Hills,12,105.08526315789473,154.10473684210524
Siraha,Eastern Terai,1,124.28473684210526,188.67473684210526
Siraha,Eastern Terai,2,137.10736842105263,185.0557894736842
Siraha,Eastern Terai,3,185.49315789473684,223.70000000000002
Siraha,Eastern Terai,4,197.7178947368421,214.14947368421053
Siraha,Eastern Terai,5,190.71947368421053,182.40105263157895
Siraha,Eastern Terai,6,152.01368421052632,123.37315789473685
Siraha,Eastern Terai,7,123.33736842105263,83.18
Siraha,Eastern Terai,8,125.93473684210528,91.95473684210526
Siraha,Eastern Terai,9,123.27157894736841,108.86263157894736
Siraha,Eastern Terai,10,138.18421052631578,161.9463157894737
Siraha,Eastern Terai,11,125.85631578947368,179.41736842105263
Siraha,Eastern Terai,12,116.45421052631579,183.04631578947368
Sunsari,Eastern Terai,1,117.82578947368421,170.81631578947366
Sunsari,Eastern Terai,2,125.00842105263158,158.9584210526316
Sunsari,Eastern Terai,3,169.7721052631579,195.72473684210527
Sunsari,Eastern Terai,4,178.30736842105264,182.96684210526314
Sunsari,Eastern Terai,5,166.3757894736842,145.18421052631578
Sunsari,Eastern Terai,6,128.4478947368421,91.74105263157894
Sunsari,Eastern Terai,7,106.60263157894737,64.07631578947368
Sunsari,Eastern Terai,8,114.77157894736841,76.2778947368421
Sunsari,Eastern Terai,9,114.46684210526315,96.73263157894738
Sunsari,Eastern Terai,10,130.9515789473684,149.20736842105262
Sunsari,Eastern Terai,11,117.27052631578947,159.02157894736843
Sunsari,Eastern Terai,12,110.33631578947367,166.06
Tanahun,Western Hills,1,115.31315789473683,167.46263157894737
Tanahun,Western Hills,2,125.23210526315789,162.55736842105264
Tanahun,Western Hills,3,173.53263157894736,198.6457894736842
Tanahun,Western Hills,4,188.88105263157894,201.23263157894738
Tanahun,Western Hills,5,183.3742105263158,171.94105263157894
Tanahun,Western Hills,6,141.90421052631578,111.27157894736841
Tanahun,Western Hills,7,104.51368421052632,58.9778947368421
Tanahun,Western Hills,8,110.10894736842106,71.84473684210526
Tanahun,Western Hills,9,114.39368421052632,95.53842105263158
Tanahun,Western Hills,10,132.72105263157894,151.24684210526317
Tanahun,Western Hills,11,115.07947368421054,160.63
Tanahun,Western Hills,12,108.46999999999998,172.10315789473685
